etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
36     | #ˌaɡurˈaː# | *#aɡurˈa# | *#aɡuɾˈa# | *#aɡurˈa# {GOLD: #aɡurˈa#}
37     | #ˌaɡˈustum# | *#aɡˈustu# | *#aɡˈustu# | *#aɡˈust# {GOLD: #ˈaɡust#}
38     | #ˌajektˈaː# | *#ajptˈa# | *#ajptˈa# | *#ajptˈa# {GOLD: #ajeptˈa#}
39     | #ˌajˈuːnum# | *#ajˈunu# | *#ajˈunu# | *#ajˈun# {GOLD: #aʒˈun#}
40     | #ˌajuːnˈaː# | *#ajunˈa# | *#ajunˈa# | *#ajunˈa# {GOLD: #aʒunˈa#}
41     | #ˈakiam# | *#ˈat͡sa# | *#ˈat͡sə# | *#ˈat͡sə# {GOLD: #ˈat͡sə#}
42     | #ˌakkˌakptiˈaː# | *#akakpt͡sˈa# | *#akəkpt͡sˈa# | *#akəkpt͡sˈa# {GOLD: #akət͡sˈa#}
43     | #ˈakrum# | *#ˈakru# | *#ˈakɾu# | *#ˈakru# {GOLD: #ˈakru#}
44     | #ˌɑksˈunɡiɑ# | *#asˈund͡ʒa# | *#asˈund͡ʒə# | *#asˈund͡ʒə# {GOLD: #osˈɨnzə#}
45     | #ˈakum# | *#ˈaku# | *#ˈaku# | *#ˈak# {GOLD: #ˈak#}
46     | #ˈakwam# | *#ˈapa# | *#ˈapə# | *#ˈapə# {GOLD: #ˈapə#}
47     | #ˌakwˈaːrium# | *#apˈajru# | *#apˈajɾu# | *#apˈar# {GOLD: #apˈar#}
48     | #ˌakwaːtˈoːsum# | *#apatˈosu# | *#apətˈosu# | *#apətˈos# {GOLD: #apətˈos#}
49     | #ˈakwilam# | *#ˈat͡ʃela# | *#ˈat͡ʃeɾə# | *#ˈat͡ʃerə# {GOLD: #ˈat͡ʃerə#}
50     | #ˌakwˈoːsum# | *#apˈosu# | *#apˈosu# | *#apˈos# {GOLD: #apˈos#}
51     | #ˌalbˈastrum# | *#albˈastru# | *#albˈastɾu# | *#albˈastru# {GOLD: #albˈastru#}
52     | #ˌalbˈiː# | *#albˈi# | *#albˈi# | *#albˈi# {GOLD: #albˈi#}
53     | #ˌalbˈitiam# | *#albˈet͡sa# | *#albe̯ˈat͡sə# | *#albˈat͡sə# {GOLD: #albe̯ˈat͡sə#}
54     | #ˌalbˈoːrem# | *#albˈore# | *#albo̯ˈaɾe# | *#albo̯ˈare# {GOLD: #albo̯ˈare#}
55     | #ˈalbum# | *#ˈalbu# | *#ˈalbu# | *#ˈalb# {GOLD: #ˈalb#}
56     | #ˈalium# | *#ˈajlu# | *#ˈajɾu# | *#ˈaj# {GOLD: #ˈaj#}
57     | #ˌallˌewˈaːtum# | *#alleˈatu# | *#ale̯ˈatu# | *#ale̯ˈat# {GOLD: #aluˈat#}
58     | #ˌaltˈaːrium# | *#altˈajru# | *#altˈajɾu# | *#altˈar# {GOLD: #altˈar#}
59     | #ˈalterum# | *#ˈalteru# | *#ˈalteɾu# | *#ˈalter# {GOLD: #ˈalt#}
60     | #ˌaltˈitiam# | *#altˈet͡sa# | *#alte̯ˈat͡sə# | *#alte̯ˈat͡sə# {GOLD: #altˈit͡sə#}
61     | #ˌalweˈaːrium# | *#albjˈajru# | *#albjˈajɾu# | *#albˈaj# {GOLD: #albiˈer#}
62     | #ˌalwˈeolam# | *#albjˈola# | *#albjo̯ˈaɾə# | *#albjo̯ˈarə# {GOLD: #albio̯ˈarə#}
63     | #ˌalwˈiːnam# | *#albˈina# | *#albˈinə# | *#albˈinə# {GOLD: #albˈinə#}
64     | #ˌamˈaːrum# | *#amˈaru# | *#əmˈaɾu# | *#əmˈar# {GOLD: #amˈar#}
65     | #ˌamaːrˈitiam# | *#amarˈet͡sa# | *#əməɾe̯ˈat͡sə# | *#əməre̯ˈat͡sə# {GOLD: #aməre̯ˈat͡sə#}
66     | #ˌamendˈui# | *#amendˈi# | *#əmendˈi# | *#əmindˈi# {GOLD: #amɨndˈoj#}
67     | #ˌammˌatteˈaː# | *#amat͡sˈa# | *#əmət͡sˈa# | *#əmət͡sˈa# {GOLD: #amet͡sˈi#}
68     | #ˌammˌortˈiː# | *#amortˈi# | *#əmuɾtˈi# | *#əmurtˈi# {GOLD: #amort͡sˈi#}
69     | #ˌammˌutˈiː# | *#amutˈi# | *#əmut͡sˈi# | *#əmut͡sˈi# {GOLD: #amut͡sˈi#}
70     | #ˈannoːtˈertioː# | *#ˈannotˈɛrt͡ʃo# | *#ˈannut͡sˈeɾt͡ʃu# | *#ˈanut͡sˈert͡s# {GOLD: #antˈərt͡s#}
71     | #ˌappˌarˈaː# | *#aparˈa# | *#apəɾˈa# | *#apərˈa# {GOLD: #apərˈa#}
72     | #ˌappˌensˈaː# | *#apesˈa# | *#apesˈa# | *#apəsˈa# {GOLD: #apəsˈa#}
73     | #ˌaprˈiːkum# | *#aprˈiku# | *#apɾˈiku# | *#aprˈik# {GOLD: #ˈapriɡ#}
74     | #ˌarˈaːmen# | *#arˈame# | *#aɾˈəme# | *#arˈəme# {GOLD: #arˈamə#}
75     | #ˌarˈaː# | *#arˈa# | *#aɾˈa# | *#arˈa# {GOLD: #arˈa#}
76     | #ˌaraːtˈoːrem# | *#aratˈore# | *#aɾəto̯ˈaɾe# | *#arəto̯ˈare# {GOLD: #arətˈor#}
77     | #ˌaraːtˈoːrium# | *#aratˈojru# | *#aɾətˈojɾu# | *#arətˈor# {GOLD: #arətˈor#}
78     | #ˌarˈaːtrum# | *#arˈatru# | *#aɾˈatɾu# | *#arˈatru# {GOLD: #arˈat#}
79     | #ˌarˈaːtum# | *#arˈatu# | *#aɾˈatu# | *#arˈat# {GOLD: #arˈat#}
80     | #ˌaratˈuːram# | *#aratˈura# | *#aɾətˈuɾə# | *#arətˈurə# {GOLD: #arətˈurə#}
81     | #ˈarborem# | *#ˈarbore# | *#ˈaɾbuɾe# | *#ˈarbure# {GOLD: #ˈarbure#}
82     | #ˌarborˈeːtum# | *#arborˈetu# | *#aɾbuɾˈetu# | *#arburˈet# {GOLD: #arburˈet#}
83     | #ˈarde# | *#ˈarde# | *#ˈaɾde# | *#ˈarde# {GOLD: #ˈarde#}
84     | #ˌarɡˈentum# | *#ard͡ʒˈɛntu# | *#aɾd͡ʒˈentu# | *#ard͡ʒˈint# {GOLD: #ard͡ʒˈint#}
85     | #ˌarɡentˈaːrium# | *#ard͡ʒentˈajru# | *#aɾd͡ʒentˈajɾu# | *#ard͡ʒintˈar# {GOLD: #ard͡ʒintˈar#}
86     | #ˌarɡentˈoːsum# | *#ard͡ʒentˈosu# | *#aɾd͡ʒentˈosu# | *#ard͡ʒintˈos# {GOLD: #ard͡ʒintˈos#}
87     | #ˌarkˈaːrium# | *#arkˈajru# | *#aɾkˈajɾu# | *#arkˈar# {GOLD: #arkˈar#}
88     | #ˈarkum# | *#ˈarku# | *#ˈaɾku# | *#ˈark# {GOLD: #ˈark#}
89     | #ˌaːrsˈuːram# | *#asˈura# | *#asˈuɾə# | *#asˈurə# {GOLD: #arsˈurə#}
90     | #ˈaskla# | *#ˈaskla# | *#ˈaskʎe# | *#ˈaʃkje# {GOLD: #ˈaʃkie#}
91     | #bˌaptidiˈoːnem# | *#bapted͡ʒˈone# | *#bəpted͡ʒˈune# | *#bəpteʒˈune# {GOLD: #boteʒˈune#}
92     | #bˌaptid͡zˈaː# | *#bapted͡zˈa# | *#bəpted͡zˈa# | *#bəptezˈa# {GOLD: #botezˈa#}
93     | #bˌasˈilikam# | *#basˈelka# | *#bəse̯ˈalkə# | *#bəse̯ˈalkə# {GOLD: #bisˈerikə#}
94     | #bˌattuˈaːlia# | *#batˈajla# | *#bətˈajɾe# | *#bətˈare# {GOLD: #bətˈaje#}
95     | #brˈaːkae̯# | *#brˈat͡ʃɛ# | *#bɾˈat͡ʃe# | *#brˈat͡ʃe# {GOLD: #brˈat͡ʃe#}
96     | #brˈoːtʰakum# | *#brˈotaku# | *#bɾo̯ˈatəku# | *#bro̯ˈatək# {GOLD: #bro̯ˈatek#}
97     | #dˌamnˈaː# | *#damnˈa# | *#dəmnˈa# | *#dɨmnˈa# {GOLD: #dəunˈa#}
98     | #dˈamna# | *#dˈamna# | *#dˈamnə# | *#dˈawnə# {GOLD: #dˈawnə#}
99     | #dˌebitˈaː# | *#deetˈa# | *#detˈa# | *#detˈa# {GOLD: #datorˈa#}
100    | #dˌebitˈoːrem# | *#deetˈore# | *#deto̯ˈaɾe# | *#deto̯ˈare# {GOLD: #datˈor#}
101    | #dˌeːraːmˈaː# | *#deramˈa# | *#deɾəmˈa# | *#derəmˈa# {GOLD: #dərɨmˈa#}
102    | #dˌeːsˌiːderˈaː# | *#desiderˈa# | *#deʃideɾˈa# | *#deʃiderˈa# {GOLD: #deʃiderˈa#}
103    | #diˈaːna# | *#d͡zˈana# | *#d͡zˈənə# | *#zˈɨnə# {GOLD: #zˈɨnə#}
104    | #dˌiskˌarrikˈaː# | *#deskarrekˈa# | *#deskərrekˈa# | *#deskərəkˈa# {GOLD: #deskərkˈa#}
105    | #dˌolˈoːrem# | *#dolˈore# | *#dulo̯ˈaɾe# | *#dulo̯ˈare# {GOLD: #duro̯ˈare#}
106    | #dˌuplikˈaː# | *#duplekˈa# | *#duplekˈa# | *#duplekˈa# {GOLD: #duplekˈa#}
107    | #kˌɑbɑllˈɑːrem# | *#kaallˈare# | *#kəlˈaɾe# | *#kəlˈare# {GOLD: #kəlˈare#}
108    | #kˈae̯lum# | *#t͡ʃˈɛlu# | *#t͡ʃˈeɾu# | *#t͡ʃˈer# {GOLD: #t͡ʃˈer#}
109    | #kˌɑntikˈellum# | *#kantet͡ʃˈɛllu# | *#kəntet͡ʃˈelu# | *#kɨntet͡ʃˈel# {GOLD: #kɨntet͡ʃˈel#}
110    | #kˌɑpˈistrum# | *#kapˈestru# | *#kəpˈestɾu# | *#kəpˈəstru# {GOLD: #kəpˈəstru#}
111    | #kˌɑpitˈiːnɑ# | *#kapetˈina# | *#kəpet͡sˈinə# | *#kəpet͡sˈinə# {GOLD: #kəpət͡sˈɨnə#}
112    | #kˈɑwsɑm# | *#kˈawsa# | *#kˈawsə# | *#kˈausə# {GOLD: #kˈawzə#}
113    | #kˈɑwulɑm# | *#kˈaula# | *#kˈauɾə# | *#kˈaurə# {GOLD: #ɡˈaurə#}
114    | #kˈeːpɑm# | *#t͡ʃˈepa# | *#t͡ʃe̯ˈapə# | *#t͡ʃe̯ˈapə# {GOLD: #t͡ʃe̯ˈapə#}
115    | #kˌeːrɑsiˈɑːrium# | *#t͡ʃeraʃˈajru# | *#t͡ʃeɾəʃˈajɾu# | *#t͡ʃerəʃˈar# {GOLD: #t͡ʃireʃˈar#}
116    | #kˌeːrˈesiɑ# | *#t͡ʃerˈɛʃa# | *#t͡ʃeɾje̯ˈaʃə# | *#t͡ʃerˈaʃə# {GOLD: #t͡ʃire̯ˈaʃə#}
117    | #kˌertˈɑː# | *#t͡ʃertˈa# | *#t͡ʃeɾtˈa# | *#t͡ʃertˈa# {GOLD: #t͡ʃertˈa#}
118    | #kˌikʰˈoreːɑ# | *#t͡ʃekˈorea# | *#t͡ʃeko̯ˈaɾe̯a# | *#t͡ʃeko̯ˈare̯a# {GOLD: #t͡ʃiko̯ˈare#}
119    | #kˌikˈuːtɑ# | *#t͡ʃekˈuta# | *#t͡ʃekˈutə# | *#t͡ʃekˈutə# {GOLD: #kukˈutə#}
120    | #kˌoɡnˈɑːtum# | *#komnˈatu# | *#kumnˈatu# | *#kumnˈat# {GOLD: #kumnˈat#}
121    | #kˌoktˈorium# | *#koptˈojru# | *#kuptˈojɾu# | *#kuptˈor# {GOLD: #kuptˈor#}
122    | #kˌommunikˈɑː# | *#komunkˈa# | *#kumunkˈa# | *#kumunkˈa# {GOLD: #kuminekˈa#}
123    | #kˈoːnsoker# | *#kˈosokre# | *#ko̯ˈasukɾe# | *#ko̯ˈasukre# {GOLD: #kˈuskru#}
124    | #kˌornˈuːtum# | *#kornˈutu# | *#kuɾnˈutu# | *#kurnˈut# {GOLD: #kornˈut#}
125    | #kˈorwum# | *#kˈorbu# | *#kˈoɾbu# | *#kˈorb# {GOLD: #kˈorb#}
126    | #kˌottid͡zˈɑː# | *#koted͡zˈa# | *#kuted͡zˈa# | *#kutezˈa# {GOLD: #kutezˈa#}
127    | #krˈistɑm# | *#krˈesta# | *#kɾe̯ˈastə# | *#kre̯ˈastə# {GOLD: #kre̯ˈastə#}
128    | #kˌukˈuːtɑm# | *#kukˈuta# | *#kukˈutə# | *#kukˈutə# {GOLD: #kukˈutə#}
129    | #kˌurtiˈɑːnioː# | *#kurt͡sˈajno# | *#kuɾt͡sˈajnu# | *#kurt͡sˈajn# {GOLD: #krut͡sˈa#}
130    | #kwˈɑdrum# | *#pˈadru# | *#pˈadɾu# | *#pˈadru# {GOLD: #kˈodru#}
131    | #kwˈae̯re# | *#t͡ʃˈɛre# | *#t͡ʃe̯ˈaɾe# | *#t͡ʃˈere# {GOLD: #t͡ʃˈere#}
132    | #kʰˈylum# | *#t͡ʃˈelu# | *#t͡ʃˈeɾu# | *#t͡ʃˈer# {GOLD: #t͡ʃˈir#}
133    | #ekkuhˈik# | *#et͡ʃˈi# | *#jet͡ʃˈi# | *#jet͡ʃˈi# {GOLD: #at͡ʃˈi#}
134    | #ekkuhˈok# | *#ekˈo# | *#jekˈo# | *#jekˈo# {GOLD: #akˈo#}
135    | #ekkeˈillum# | *#et͡ʃˈellu# | *#jet͡ʃˈelu# | *#jet͡ʃˈel# {GOLD: #at͡ʃˈel#}
136    | #ekkuˈistum# | *#et͡ʃˈestu# | *#jet͡ʃˈestu# | *#jet͡ʃˈest# {GOLD: #at͡ʃˈest#}
137    | #eksˈalbidum# | *#sˈalbedu# | *#sˈalbedu# | *#sˈalbəd# {GOLD: #sˈarbəd#}
138    | #ekskˌadˈeː# | *#skadˈe# | *#skədˈe# | *#skəde̯ˈa# {GOLD: #skəde̯ˈa#}
139    | #ekskˌaldˈaː# | *#skaldˈa# | *#skəldˈa# | *#skəldˈa# {GOLD: #skəldˈa#}
140    | #ekskˌambiˈaː# | *#skambjˈa# | *#skəmbjˈa# | *#skimbjˈa# {GOLD: #skimbˈa#}
141    | #ekskˌappˈaː# | *#skapˈa# | *#skəpˈa# | *#skəpˈa# {GOLD: #skəpˈa#}
142    | #ekskˌarminˈaː# | *#skarmenˈa# | *#skəɾmenˈa# | *#skərmɨnˈa# {GOLD: #skərmənˈa#}
143    | #eksmˈulɡe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# {GOLD: #smuld͡ʒˈe#}
144    | #eksmˈultum# | *#smˈultu# | *#smˈultu# | *#smˈult# {GOLD: #smˈult#}
145    | #ekspellawˈaː# | *#spellaˈa# | *#spelˈa# | *#spəlˈa# {GOLD: #spəlˈa#}
146    | #eːrˈikium# | *#erˈet͡su# | *#jeɾˈet͡su# | *#jerˈet͡s# {GOLD: #arˈit͡ʃj#}
147    | #fˌabrikˈaː# | *#fawrekˈa# | *#fawɾekˈa# | *#fawrekˈa# {GOLD: #ferekˈa#}
148    | #fˈalkem# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# {GOLD: #fˈalkə#}
149    | #fˈarmakum# | *#fˈarmaku# | *#fˈaɾməku# | *#fˈarmək# {GOLD: #fˈarkək#}
150    | #fˌebruˈaːrium# | *#fewrbˈajru# | *#fewɾbˈajɾu# | *#fejerbˈar# {GOLD: #fəwrˈar#}
151    | #flˈakula# | *#flˈakula# | *#flˈakuɾə# | *#flˈake# {GOLD: #flˈakərə#}
152    | #fˌortˈuːnam# | *#fortˈuna# | *#fuɾtˈunə# | *#furtˈunə# {GOLD: #furtˈunə#}
153    | #fˌossˈɑːtum# | *#fosˈatu# | *#fusˈatu# | *#fusˈat# {GOLD: #sˈat#}
154    | #frˈeːnum# | *#frˈenu# | *#fɾˈenu# | *#frˈin# {GOLD: #frˈɨnə#}
155    | #frˈiːɡe# | *#frˈid͡ʒe# | *#fɾˈid͡ʒe# | *#frˈid͡ʒe# {GOLD: #frˈid͡ʒe#}
156    | #ɡˌɑlliːnˈɑːkeum# | *#ɡallinˈat͡su# | *#ɡəʎinˈat͡su# | *#ɡəinˈat͡s# {GOLD: #ɡəinˈat͡s#}
157    | #ɡlˈɑndɑm# | *#ɡʎˈanda# | *#ɡʎˈəndə# | *#ɡˈində# {GOLD: #ɡˈində#}
158    | #ɡlˈɑndulɑm# | *#ɡʎˈandula# | *#ɡʎˈənduɾə# | *#ɡˈindurə# {GOLD: #ɡˈindurə#}
159    | #ɡˈulɑm# | *#ɡˈula# | *#ɡˈuɾə# | *#ɡˈurə# {GOLD: #ɡˈurə#}
160    | #ɡˈyːrum# | *#d͡ʒˈiru# | *#d͡ʒˈiɾu# | *#d͡ʒˈir# {GOLD: #ʒˈur#}
161    | #ˌinpˌerɡˈyːrum# | *#enperd͡ʒˈiru# | *#enpeɾd͡ʒˈiɾu# | *#ɨnperd͡ʒˈir# {GOLD: #ɨmpreʒˈur#}
162    | #hˈae̯dum# | *#ˈɛdu# | *#jˈedu# | *#jˈed# {GOLD: #jˈed#}
163    | #hˈominem# | *#ˈomne# | *#o̯ˈamne# | *#o̯ˈamne# {GOLD: #ˈom#}
164    | #hˌorrˈiː# | *#orrˈi# | *#urrˈi# | *#urˈɨ# {GOLD: #urˈə#}
165    | #ˌimpˌerɑːtˈissɑm# | *#emperatˈesa# | *#empeɾəte̯ˈasə# | *#ɨmpərəte̯ˈasə# {GOLD: #ɨmpərəte̯ˈasa#}
166    | #ˌimperˈɑːtum# | *#emperˈatu# | *#empeɾˈatu# | *#ɨmpərˈat# {GOLD: #ɨmpərˈat#}
167    | #ˌinˈɑltum# | *#enˈaltu# | *#enˈaltu# | *#ɨnˈalt# {GOLD: #ɨnˈalt#}
168    | #ˌinˌɑltiˈɑː# | *#enalt͡sˈa# | *#enəlt͡sˈa# | *#ɨnəlt͡sˈa# {GOLD: #ɨnəlt͡sˈa#}
169    | #ˌinkˌɑrrikˈɑː# | *#enkarrekˈa# | *#enkərrekˈa# | *#ɨnkərəkˈa# {GOLD: #ɨnkərkˈa#}
170    | #ˌinkˌonɡˌyːrˈɑː# | *#enkond͡ʒirˈa# | *#enkund͡ʒiɾˈa# | *#ɨnkund͡ʒirˈa# {GOLD: #ɨnkunʒurˈa#}
171    | #ˌindireːktˈɑː# | *#endereptˈa# | *#endeɾeptˈa# | *#ɨndereptˈa# {GOLD: #ɨndreptˈa#}
172    | #ˌinfˌɑskiˈɑː# | *#enfat͡ʃˈa# | *#enfət͡ʃˈa# | *#ɨnfət͡ʃˈa# {GOLD: #ɨnfəʃˈa#}
173    | #ˌinɡˌɑnnˈɑː# | *#enɡannˈa# | *#enɡənnˈa# | *#ɨnɡɨnˈa# {GOLD: #ɨnɡənˈa#}
174    | #ˌinwˌitiˈɑː# | *#envet͡sˈa# | *#envet͡sˈa# | *#ɨnvət͡sˈa# {GOLD: #ɨnvət͡sˈa#}
175    | #iˌuːdikˈɑːtɑm# | *#d͡ʒudekˈata# | *#d͡ʒudekˈatə# | *#ʒudekˈatə# {GOLD: #ʒudekˈatə#}
176    | #manuˈaːrium# | *#manˈajru# | *#mənˈajɾu# | *#mɨnˈar# {GOLD: #amnˈar#}
177    | #mastikˈaː# | *#mastekˈa# | *#məstekˈa# | *#məstekˈa# {GOLD: #mestekˈa#}
178    | #mikstikˈaː# | *#mestekˈa# | *#mestekˈa# | *#mestekˈa# {GOLD: #mestekˈa#}
179    | #okkupˈaː# | *#okupˈa# | *#ukupˈa# | *#ukupˈa# {GOLD: #apukˈa#}
180    | #pʰˌɑlˈɑnɡɑ# | *#palˈanɡa# | *#pəɾˈənɡə# | *#pərˈɨnɡə# {GOLD: #pərˈɨnɡə#}
181    | #pˌɑːwˈoːnem# | *#paˈone# | *#paˈune# | *#paˈune# {GOLD: #pəˈun#}
182    | #pˈekten# | *#pˈɛpte# | *#pje̯ˈapte# | *#pjˈepte# {GOLD: #piˈeptən#}
183    | #pˌekˈulium# | *#pekˈujlu# | *#pekˈujɾu# | *#pəkˈuj# {GOLD: #pəkˈuj#}
184    | #pˈerɡulɑm# | *#pˈɛrɡula# | *#pje̯ˈaɾɡuɾə# | *#pˈɨrɡurə# {GOLD: #pˈɨrɡie#}
185    | #pˌistˈaːlia# | *#pestˈajla# | *#pestˈajɾe# | *#pəstˈare# {GOLD: #pəstˈaie#}
186    | #pˈittulɑm# | *#pˈetula# | *#pe̯ˈatuɾə# | *#pˈaturə# {GOLD: #pˈəturə#}
187    | #plˈɑːɡɑ# | *#plˈaɡa# | *#plˈaɡə# | *#plˈaɡə# {GOLD: #plˈaɡə#}
188    | #plˈoːppus# | *#plˈopu# | *#plˈopu# | *#plˈop# {GOLD: #plˈop#}
189    | #prˈae̯dɑ# | *#prˈɛda# | *#pɾje̯ˈadə# | *#prˈadə# {GOLD: #prˈadə#}
190    | #prˌae̯dˈɑː# | *#prae̯dˈa# | *#pɾae̯dˈa# | *#prae̯dˈa# {GOLD: #prədˈa#}
191    | #prˈae̯byter# | *#prˈɛetre# | *#pɾje̯ˈaetɾe# | *#prjˈeetre# {GOLD: #prˈeot#}
192    | #prˌiːmɑwˈeːrɑm# | *#primavˈera# | *#pɾiməve̯ˈaɾə# | *#priməvˈarə# {GOLD: #prˈimavara#}
193    | #pˈunɡɑm# | *#pˈunɡa# | *#pˈunɡə# | *#pˈunɡə# {GOLD: #pˈunɡə#}
194    | #sˌɑɡˈittɑm# | *#sad͡ʒˈeta# | *#səd͡ʒe̯ˈatə# | *#səd͡ʒe̯ˈatə# {GOLD: #səd͡ʒe̯ˈatə#}
195    | #sˌɑɡittˈɑː# | *#sad͡ʒetˈa# | *#səd͡ʒetˈa# | *#səd͡ʒetˈa# {GOLD: #səd͡ʒetˈa#}
196    | #sˈaːnktum# | *#sˈantu# | *#sˈəntu# | *#sˈɨnt# {GOLD: #sˈɨnt#}
197    | #sˈappa# | *#sˈapa# | *#sˈapə# | *#sˈapə# {GOLD: #sˈapə#}
198    | #sˌappˈa# | *#sapˈa# | *#səpˈa# | *#səpˈa# {GOLD: #səpˈa#}
199    | #sˈɑrikɑm# | *#sˈarka# | *#sˈaɾkə# | *#sˈarkə# {GOLD: #sarˈikə#}
200    | #sˌekrˈeːtus# | *#sekrˈetu# | *#sekɾˈetu# | *#sekrˈet# {GOLD: #səkrˈet#}
201    | #sˈellɑ# | *#sˈɛlla# | *#ʃe̯ˈa# | *#ʃˈa# {GOLD: #ʃˈale#}
202    | #sˈerrɑ# | *#sˈɛrra# | *#ʃe̯ˈarrə# | *#ʃˈarə# {GOLD: #ʃˈarə#}
203    | #skˈɑmnum# | *#skˈamnu# | *#skˈamnu# | *#skˈawn# {GOLD: #skˈawn#}
