etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
493    | #petˈiː# | *#petˈi# | *#pet͡sˈi# | *#pet͡sˈi# {GOLD: #pet͡sˈi#}
494    | #lˈuːmen# | *#lˈume# | *#lˈume# | *#lˈume# {GOLD: #lˈume#}
495    | #kˈirkinum# | *#c͡ɕˈerkanu# | *#t͡ʃe̯ˈarkənu# | *#t͡ʃe̯ˈarkɨn# {GOLD: #t͡ʃe̯ˈarkən#}
496    | #ekskapitˈaː# | *#skapetˈa# | *#skəpetˈa# | *#skəpətˈa# {GOLD: #skəpətˈa#}
497    | #luːkˈiferum# | *#luc͡ɕˈeferu# | *#lut͡ʃe̯ˈafeɾu# | *#lut͡ʃe̯ˈafər# {GOLD: #lut͡ʃe̯ˈafər#}
498    | #lˈuːnam# | *#lˈuna# | *#lˈunə# | *#lˈunə# {GOLD: #lˈunə#}
499    | #rˌesalˈiː# | *#resalˈi# | *#rɾesəɾˈi# | *#rəsərˈi# {GOLD: #rəsərˈi#}
500    | #sˈoːlem# | *#sˈole# | *#so̯ˈaɾe# | *#so̯ˈare# {GOLD: #so̯ˈare#}
501    | #ˈawram# | *#ˈawra# | *#ˈawɾə# | *#ˈawrə# {GOLD: #ˈawrə#}
502    | #ˈawstrum# | *#ˈawstru# | *#ˈawstɾu# | *#ˈawstru# {GOLD: #ˈawstru#}
503    | #brˈuːmam# | *#brˈuma# | *#bɾˈumə# | *#brˈumə# {GOLD: #brˈumə#}
504    | #frˈiːɡum# | *#frˈiɡu# | *#fɾˈiɡu# | *#frˈiɡ# {GOLD: #frˈiɡ#}
505    | #ɡˈeluː# | *#ɟ͡ʑˈɛlu# | *#d͡ʒˈeɾu# | *#d͡ʒˈer# {GOLD: #d͡ʒˈer#}
506    | #ɡrˈandinam# | *#ɡrˈandena# | *#ɡɾˈəndenə# | *#ɡrˈɨndinə# {GOLD: #ɡrˈindinə#}
507    | #nˈuːbilum# | *#nˈualu# | *#nˈuəɾu# | *#nˈor# {GOLD: #nˈor#}
508    | #nˈinɡwe# | *#nˈinɟ͡ʑe# | *#nˈind͡ʒe# | *#nˈind͡ʒe# {GOLD: #nˈind͡ʒe#}
509    | #nˈiwem# | *#nˈee# | *#ne̯ˈa# | *#ne̯ˈa# {GOLD: #ne̯ˈa#}
510    | #plowˈaː# | *#plowˈa# | *#plowˈa# | *#plowˈa# {GOLD: #plowˈa#}
511    | #plˈojam# | *#plˈoja# | *#plo̯ˈajə# | *#plo̯ˈaje# {GOLD: #plo̯ˈaje#}
512    | #rˈoːwem# | *#rˈowa# | *#rɾˈowə# | *#rˈowə# {GOLD: #rˈowə#}
513    | #serˈeːnum# | *#serˈenu# | *#seɾˈenu# | *#senˈin# {GOLD: #senˈin#}
514    | #sˈikkitaːs# | *#sˈec͡ɕeta# | *#se̯ˈat͡ʃetə# | *#sˈet͡ʃetə# {GOLD: #sˈet͡ʃetə#}
515    | #tonˈaː# | *#tonˈa# | *#tunˈa# | *#tunˈa# {GOLD: #tunˈa#}
516    | #wˈentum# | *#vˈɛntu# | *#vˈentu# | *#vˈɨnt# {GOLD: #vˈɨnt#}
517    | #dˈata# | *#dˈata# | *#dˈatə# | *#dˈatə# {GOLD: #dˈatə#}
518    | #hˈoːram# | *#ˈora# | *#o̯ˈaɾə# | *#o̯ˈarə# {GOLD: #o̯ˈarə#}
519    | #ˈalbam# | *#ˈalba# | *#ˈalbə# | *#ˈalbə# {GOLD: #ˈalba#}
520    | #dˈiem# | *#dˈi# | *#d͡zˈi# | *#zˈi# {GOLD: #zˈi#}
521    | #hˈeriː# | *#ˈɛri# | *#jˈeɾi# | *#jˈerj# {GOLD: #jˈerj#}
522    | #mˈaːne# | *#mˈane# | *#mˈəne# | *#mˈɨjne# {GOLD: #mˈɨjne#}
523    | #nˈoktem# | *#nˈopte# | *#no̯ˈapte# | *#no̯ˈapte# {GOLD: #no̯ˈapte#}
524    | #domˈinikam# | *#domˈeneka# | *#dumˈenekə# | *#dumˈinikə# {GOLD: #dumˈinikə#}
525    | #mˈartis# | *#mˈarti# | *#mˈart͡si# | *#mˈart͡sj# {GOLD: #mˈart͡sj#}
526    | #sˈambatam# | *#sˈambata# | *#sˈəmbətə# | *#sˈɨmbətə# {GOLD: #sˈɨmbətə#}
527    | #septimˈaːnam# | *#septemˈana# | *#septemˈənə# | *#səptəmˈɨnə# {GOLD: #səptəmˈɨnə#}
528    | #wˈeneris# | *#vˈɛneri# | *#vjˈeneɾi# | *#vˈinerj# {GOLD: #vˈinerj#}
529    | #ˌaprˈiːlem# | *#aprˈile# | *#apɾˈiɾe# | *#aprˈire# {GOLD: #prjˈer#}
530    | #ˌawɡˈustum# | *#aɡˈustu# | *#aɡˈustu# | *#aɡˈust# {GOLD: #aɡˈust#}
531    | #kˌalendˈaːrium# | *#kalendˈajru# | *#kəɾendˈajɾu# | *#kərindˈar# {GOLD: #kərindˈar#}
532    | #mˈaium# | *#mˈaju# | *#mˈaju# | *#mˈaj# {GOLD: #mˈaj#}
533    | #mˈartium# | *#mˈart͡sʲu# | *#mˈart͡su# | *#mˈart͡s# {GOLD: #mˈart͡s#}
534    | #ˌawtˈumnam# | *#atˈumna# | *#atˈumnə# | *#atˈumnə# {GOLD: #to̯ˈamnə#}
535    | #hˌibˈernam# | *#eˈɛrna# | *#eje̯ˈaɾnə# | *#jˈarnə# {GOLD: #jˈarnə#}
536    | #wˈeːram# | *#vˈera# | *#ve̯ˈaɾə# | *#vˈarə# {GOLD: #vˈarə#}
537    | #pawiːmˈentum# | *#pamˈɛntu# | *#pəmˈentu# | *#pəmˈɨnt# {GOLD: #pəmˈɨnt#}
538    | #ˌarˈeːnam# | *#arˈena# | *#aɾˈenə# | *#arˈinə# {GOLD: #arˈinə#}
539    | #lˈutum# | *#lˈutu# | *#lˈutu# | *#lˈut# {GOLD: #lˈut#}
540    | #pˈetram# | *#pˈɛtra# | *#pje̯ˈatɾə# | *#pjˈatrə# {GOLD: #pjˈatrə#}
541    | #pˈulwerem# | *#pˈulbere# | *#pˈulbeɾe# | *#pˈulbere# {GOLD: #pˈulbere#}
542    | #sˈessum# | *#sˈɛsu# | *#ʃˈesu# | *#ʃˈes# {GOLD: #ʃˈes#}
543    | #kˌarbˈoːnem# | *#karbˈone# | *#kərbˈune# | *#kərbˈune# {GOLD: #kərbˈune#}
544    | #ˈawrum# | *#ˈawru# | *#ˈawɾu# | *#ˈawr# {GOLD: #ˈawr#}
545    | #plˈumbum# | *#plˈumbu# | *#plˈumbu# | *#plˈumb# {GOLD: #plˈumb#}
546    | #ɡrˈumum# | *#ɡrˈumu# | *#ɡɾˈumu# | *#ɡrˈum# {GOLD: #ɡrˈum#}
